"","SINCERE_MAX2","STRATEGIC_MAX2","VCM1021","n","sincere_strategic","percent","df","education"
"1",0,0,4,1,1,0.0526315789473684,"anes84_cm_d","SOMECOLLEGE"
"2",0,0,6,1,1,0.0384615384615385,"anes84_cm_d","BACHELORS"
"3",0,1,2,1,3,0.333333333333333,"anes84_cm_d","SOMEHS"
"4",0,1,3,4,3,0.181818181818182,"anes84_cm_d","HS"
"5",0,1,4,1,3,0.0526315789473684,"anes84_cm_d","SOMECOLLEGE"
"6",0,1,6,1,3,0.0384615384615385,"anes84_cm_d","BACHELORS"
"7",1,0,3,3,2,0.136363636363636,"anes84_cm_d","HS"
"8",1,0,4,3,2,0.157894736842105,"anes84_cm_d","SOMECOLLEGE"
"9",1,0,6,5,2,0.192307692307692,"anes84_cm_d","BACHELORS"
"10",1,1,1,2,4,1,"anes84_cm_d","GRADE8-"
"11",1,1,2,2,4,0.666666666666667,"anes84_cm_d","SOMEHS"
"12",1,1,3,15,4,0.681818181818182,"anes84_cm_d","HS"
"13",1,1,4,14,4,0.736842105263158,"anes84_cm_d","SOMECOLLEGE"
"14",1,1,6,19,4,0.730769230769231,"anes84_cm_d","BACHELORS"
