"","SINCERE_MAX2","STRATEGIC_MAX2","cWA03","n","sincere_strategic","percent","df","education"
"1",0,0,1,2,1,0.142857142857143,"naes04_national","GRADE8-"
"2",0,0,2,4,1,0.121212121212121,"naes04_national","SOMEHS"
"3",0,0,3,4,1,0.0209424083769634,"naes04_national","HS"
"4",0,0,5,4,1,0.0291970802919708,"naes04_national","SOMECOLLEGE"
"5",0,0,6,2,1,0.0434782608695652,"naes04_national","ASSOCIATES"
"6",0,0,7,3,1,0.0206896551724138,"naes04_national","BACHELORS"
"7",0,0,9,2,1,0.0149253731343284,"naes04_national","PROFESSIONAL"
"8",0,1,1,6,3,0.428571428571429,"naes04_national","GRADE8-"
"9",0,1,2,6,3,0.181818181818182,"naes04_national","SOMEHS"
"10",0,1,3,41,3,0.214659685863874,"naes04_national","HS"
"11",0,1,4,7,3,0.28,"naes04_national","VOCATIONAL"
"12",0,1,5,17,3,0.124087591240876,"naes04_national","SOMECOLLEGE"
"13",0,1,6,5,3,0.108695652173913,"naes04_national","ASSOCIATES"
"14",0,1,7,17,3,0.117241379310345,"naes04_national","BACHELORS"
"15",0,1,8,9,3,0.243243243243243,"naes04_national","SOMEPROFESSIONAL"
"16",0,1,9,8,3,0.0597014925373134,"naes04_national","PROFESSIONAL"
"17",1,0,1,2,2,0.142857142857143,"naes04_national","GRADE8-"
"18",1,0,2,3,2,0.0909090909090909,"naes04_national","SOMEHS"
"19",1,0,3,31,2,0.162303664921466,"naes04_national","HS"
"20",1,0,4,5,2,0.2,"naes04_national","VOCATIONAL"
"21",1,0,5,29,2,0.211678832116788,"naes04_national","SOMECOLLEGE"
"22",1,0,6,7,2,0.152173913043478,"naes04_national","ASSOCIATES"
"23",1,0,7,31,2,0.213793103448276,"naes04_national","BACHELORS"
"24",1,0,8,2,2,0.0540540540540541,"naes04_national","SOMEPROFESSIONAL"
"25",1,0,9,31,2,0.23134328358209,"naes04_national","PROFESSIONAL"
"26",1,0,NA,1,2,0.333333333333333,"naes04_national",NA
"27",1,1,1,4,4,0.285714285714286,"naes04_national","GRADE8-"
"28",1,1,2,20,4,0.606060606060606,"naes04_national","SOMEHS"
"29",1,1,3,115,4,0.602094240837696,"naes04_national","HS"
"30",1,1,4,13,4,0.52,"naes04_national","VOCATIONAL"
"31",1,1,5,87,4,0.635036496350365,"naes04_national","SOMECOLLEGE"
"32",1,1,6,32,4,0.695652173913043,"naes04_national","ASSOCIATES"
"33",1,1,7,94,4,0.648275862068965,"naes04_national","BACHELORS"
"34",1,1,8,26,4,0.702702702702703,"naes04_national","SOMEPROFESSIONAL"
"35",1,1,9,93,4,0.694029850746269,"naes04_national","PROFESSIONAL"
"36",1,1,NA,2,4,0.666666666666667,"naes04_national",NA
