"","SINCERE_MAX2","STRATEGIC_MAX2","WA03_c","n","sincere_strategic","percent","df","education"
"1",0,0,1,1,1,0.0434782608695652,"naes08_phone_r","GRADE8-"
"2",0,0,2,12,1,0.16,"naes08_phone_r","SOMEHS"
"3",0,0,3,36,1,0.0662983425414365,"naes08_phone_r","HS"
"4",0,0,4,5,1,0.0925925925925926,"naes08_phone_r","VOCATIONAL"
"5",0,0,5,32,1,0.0712694877505568,"naes08_phone_r","SOMECOLLEGE"
"6",0,0,6,16,1,0.08,"naes08_phone_r","ASSOCIATES"
"7",0,0,7,38,1,0.0632279534109817,"naes08_phone_r","BACHELORS"
"8",0,0,8,9,1,0.0918367346938776,"naes08_phone_r","SOMEPROFESSIONAL"
"9",0,0,9,24,1,0.0508474576271186,"naes08_phone_r","PROFESSIONAL"
"10",0,1,1,2,3,0.0869565217391304,"naes08_phone_r","GRADE8-"
"11",0,1,2,14,3,0.186666666666667,"naes08_phone_r","SOMEHS"
"12",0,1,3,67,3,0.123388581952118,"naes08_phone_r","HS"
"13",0,1,4,4,3,0.0740740740740741,"naes08_phone_r","VOCATIONAL"
"14",0,1,5,35,3,0.0779510022271715,"naes08_phone_r","SOMECOLLEGE"
"15",0,1,6,16,3,0.08,"naes08_phone_r","ASSOCIATES"
"16",0,1,7,50,3,0.0831946755407654,"naes08_phone_r","BACHELORS"
"17",0,1,8,8,3,0.0816326530612245,"naes08_phone_r","SOMEPROFESSIONAL"
"18",0,1,9,42,3,0.0889830508474576,"naes08_phone_r","PROFESSIONAL"
"19",1,0,1,2,2,0.0869565217391304,"naes08_phone_r","GRADE8-"
"20",1,0,2,8,2,0.106666666666667,"naes08_phone_r","SOMEHS"
"21",1,0,3,68,2,0.125230202578269,"naes08_phone_r","HS"
"22",1,0,4,7,2,0.12962962962963,"naes08_phone_r","VOCATIONAL"
"23",1,0,5,68,2,0.151447661469933,"naes08_phone_r","SOMECOLLEGE"
"24",1,0,6,25,2,0.125,"naes08_phone_r","ASSOCIATES"
"25",1,0,7,93,2,0.154742096505824,"naes08_phone_r","BACHELORS"
"26",1,0,8,12,2,0.122448979591837,"naes08_phone_r","SOMEPROFESSIONAL"
"27",1,0,9,68,2,0.144067796610169,"naes08_phone_r","PROFESSIONAL"
"28",1,0,NA,3,2,0.130434782608696,"naes08_phone_r",NA
"29",1,1,1,18,4,0.782608695652174,"naes08_phone_r","GRADE8-"
"30",1,1,2,41,4,0.546666666666667,"naes08_phone_r","SOMEHS"
"31",1,1,3,372,4,0.685082872928177,"naes08_phone_r","HS"
"32",1,1,4,38,4,0.703703703703704,"naes08_phone_r","VOCATIONAL"
"33",1,1,5,314,4,0.699331848552339,"naes08_phone_r","SOMECOLLEGE"
"34",1,1,6,143,4,0.715,"naes08_phone_r","ASSOCIATES"
"35",1,1,7,420,4,0.698835274542429,"naes08_phone_r","BACHELORS"
"36",1,1,8,69,4,0.704081632653061,"naes08_phone_r","SOMEPROFESSIONAL"
"37",1,1,9,338,4,0.716101694915254,"naes08_phone_r","PROFESSIONAL"
"38",1,1,NA,20,4,0.869565217391304,"naes08_phone_r",NA
