"","SINCERE_MAX2","STRATEGIC_MAX2","cv02","n","sincere_strategic","percent","df","party_strength"
"1",0,0,1,10,1,0.016366612111293,"naes00_national_r","STRONG"
"2",0,0,2,11,1,0.0206766917293233,"naes00_national_r","NOTVERYSTRONG"
"3",0,0,NA,2,1,0.018018018018018,"naes00_national_r",NA
"4",0,1,1,96,3,0.157119476268412,"naes00_national_r","STRONG"
"5",0,1,2,125,3,0.234962406015038,"naes00_national_r","NOTVERYSTRONG"
"6",0,1,NA,19,3,0.171171171171171,"naes00_national_r",NA
"7",1,0,1,110,2,0.180032733224223,"naes00_national_r","STRONG"
"8",1,0,2,113,2,0.212406015037594,"naes00_national_r","NOTVERYSTRONG"
"9",1,0,NA,24,2,0.216216216216216,"naes00_national_r",NA
"10",1,1,1,395,4,0.646481178396072,"naes00_national_r","STRONG"
"11",1,1,2,283,4,0.531954887218045,"naes00_national_r","NOTVERYSTRONG"
"12",1,1,NA,66,4,0.594594594594595,"naes00_national_r",NA
