"","SINCERE_MAX2","STRATEGIC_MAX2","MA02_c","n","sincere_strategic","percent","df","party_strength"
"1",0,0,1,118,1,0.0508620689655172,"naes08_phone_d","STRONG"
"2",0,0,2,94,1,0.0739575137686861,"naes08_phone_d","NOTVERYSTRONG"
"3",0,0,NA,27,1,0.0604026845637584,"naes08_phone_d",NA
"4",0,1,1,200,3,0.0862068965517241,"naes08_phone_d","STRONG"
"5",0,1,2,126,3,0.0991345397324941,"naes08_phone_d","NOTVERYSTRONG"
"6",0,1,NA,44,3,0.0984340044742729,"naes08_phone_d",NA
"7",1,0,1,413,2,0.17801724137931,"naes08_phone_d","STRONG"
"8",1,0,2,271,2,0.213217938630999,"naes08_phone_d","NOTVERYSTRONG"
"9",1,0,NA,96,2,0.214765100671141,"naes08_phone_d",NA
"10",1,1,1,1589,4,0.684913793103448,"naes08_phone_d","STRONG"
"11",1,1,2,780,4,0.613690007867821,"naes08_phone_d","NOTVERYSTRONG"
"12",1,1,NA,280,4,0.626398210290828,"naes08_phone_d",NA
