"","SINCERE_MAX2","STRATEGIC_MAX2","cMB11","n","sincere_strategic","percent","df","efficacy"
"1",0,0,1,3,1,0.0508474576271186,"naes04_national","STRONGLYAGREE"
"2",0,0,2,3,1,0.0340909090909091,"naes04_national","SOMEWHATAGREE"
"3",0,0,4,4,1,0.0338983050847458,"naes04_national","STRONGLYDISAGREE"
"4",0,0,NA,11,1,0.0281329923273657,"naes04_national",NA
"5",0,1,1,9,3,0.152542372881356,"naes04_national","STRONGLYAGREE"
"6",0,1,2,16,3,0.181818181818182,"naes04_national","SOMEWHATAGREE"
"7",0,1,3,12,3,0.110091743119266,"naes04_national","SOMEWHATDISAGREE"
"8",0,1,4,15,3,0.127118644067797,"naes04_national","STRONGLYDISAGREE"
"9",0,1,NA,64,3,0.163682864450128,"naes04_national",NA
"10",1,0,1,10,2,0.169491525423729,"naes04_national","STRONGLYAGREE"
"11",1,0,2,14,2,0.159090909090909,"naes04_national","SOMEWHATAGREE"
"12",1,0,3,24,2,0.220183486238532,"naes04_national","SOMEWHATDISAGREE"
"13",1,0,4,24,2,0.203389830508475,"naes04_national","STRONGLYDISAGREE"
"14",1,0,NA,70,2,0.179028132992327,"naes04_national",NA
"15",1,1,1,37,4,0.627118644067797,"naes04_national","STRONGLYAGREE"
"16",1,1,2,55,4,0.625,"naes04_national","SOMEWHATAGREE"
"17",1,1,3,73,4,0.669724770642202,"naes04_national","SOMEWHATDISAGREE"
"18",1,1,4,75,4,0.635593220338983,"naes04_national","STRONGLYDISAGREE"
"19",1,1,NA,246,4,0.629156010230179,"naes04_national",NA
