"","SINCERE_MAX2","STRATEGIC_MAX2","cWC03","n","sincere_strategic","percent","df","race"
"1",0,0,1,20,1,0.0327332242225859,"naes04_national","WHITE"
"2",0,0,2,1,1,0.00970873786407767,"naes04_national","BLACK"
"3",0,1,1,96,3,0.157119476268412,"naes04_national","WHITE"
"4",0,1,2,16,3,0.155339805825243,"naes04_national","BLACK"
"5",0,1,4,1,3,0.111111111111111,"naes04_national","NATIVE"
"6",0,1,5,3,3,0.142857142857143,"naes04_national","OTHER"
"7",1,0,1,116,2,0.189852700490998,"naes04_national","WHITE"
"8",1,0,2,18,2,0.174757281553398,"naes04_national","BLACK"
"9",1,0,4,1,2,0.111111111111111,"naes04_national","NATIVE"
"10",1,0,5,4,2,0.19047619047619,"naes04_national","OTHER"
"11",1,0,NA,3,2,0.230769230769231,"naes04_national",NA
"12",1,1,1,379,4,0.620294599018003,"naes04_national","WHITE"
"13",1,1,2,68,4,0.660194174757282,"naes04_national","BLACK"
"14",1,1,3,8,4,1,"naes04_national","ASIAN"
"15",1,1,4,7,4,0.777777777777778,"naes04_national","NATIVE"
"16",1,1,5,14,4,0.666666666666667,"naes04_national","OTHER"
"17",1,1,NA,10,4,0.769230769230769,"naes04_national",NA
